id,release_date,title,furigana,edit,tags,data,jasrac_code,difficulty,youtube,download,release_status,song_name,artist_name
10011143,2024/05/02,ぼくらの Eve いゔ アニメ「僕のヒーローアカデミア」第6期OP           ,ぼくらの,リリース通知作成,"[""アニメ""]",true,763-4203-4,かんたん：3むずかしい：6げきむず：0,,ファイル名をコピー,リリース,ぼくらの,Eve
10011141,2023/06/13,まぶた Vaundy ばうんでぃ ドラマ「女神の教室～リーガル青春白書～」主題歌           ,まぶた,リリース通知作成,"[""ポップス""]",true,763-4655-2,かんたん：3むずかしい：4げきむず：0,,ファイル名をコピー,リリース,まぶた,Vaundy
10011066,2023/12/07,新宝島 サカナクション さかなくしょん 映画『バクマン。』主題歌           ,しんたからじま,リリース通知作成,"[""アニメ""]",true,21219001N00057544,かんたん：3むずかしい：5げきむず：0,,ファイル名をコピー,リリース,新宝島,サカナクション
10011114,2024/04/13,ひとりごつ ハチワレ（CV：田中誠人） はちわれたなかまこと アニメ「ちいかわ」ED           ,ひとりごつ,リリース通知作成,"[""アニメ""]",true,274-7796-7,かんたん：1むずかしい：4げきむず：0,,ファイル名をコピー,リリース,ひとりごつ,ハチワレ（CV：田中誠人）
10011098,2024/02/12,ラムのラブソング 松谷祐子 まつたにゆうこ アニメ「うる星やつら」OP           ,らむのらぶそんぐ,リリース通知作成,"[""アニメ""]",true,010-6587-4,かんたん：4むずかしい：7げきむず：0,,ファイル名をコピー,リリース,ラムのラブソング,松谷祐子
10011028,2024/05/01,星座になれたら 結束バンド けっそくばんど アニメ「ぼっち・ざ・ろっく！」第12話劇中曲           ,せいざになれたら,リリース通知作成,"[""アニメ""]",true,278-2529-9,かんたん：2むずかしい：6げきむず：0,,ファイル名をコピー,リリース,星座になれたら,結束バンド
10011043,2023/11/22,やさしさに包まれたなら 荒井 由実 あらいゆみ 映画『魔女の宅急便』ED主題歌           ,やさしさにつつまれたなら,リリース通知作成,"[""ポップス""]",true,088-2702-8,かんたん：1むずかしい：4げきむず：0,,ファイル名をコピー,リリース,やさしさに包まれたなら,荒井 由実
10010988,2023/01/17,Subtitle Official髭男dism おふぃしゃるひげだんでぃずむ ドラマ「silent」主題歌           ,さぶたいとる,リリース通知作成,"[""ポップス""]",true,277-5427-8,かんたん：2むずかしい：5げきむず：0,,ファイル名をコピー,リリース,Subtitle,Official髭男dism
10011023,2024/02/20,バイオレンス 女王蜂 じょおうばち アニメ「チェンソーマン」第11話ED           ,ばいおれんす,リリース通知作成,"[""アニメ""]",true,762-1421-4,かんたん：3むずかしい：6げきむず：0,,ファイル名をコピー,リリース,バイオレンス,女王蜂
10011138,2023/11/27,アイワナムチュー MAISONdes めぞんで アニメ「うる星やつら」OP           ,あいわなむちゅー,リリース通知作成,"[""アニメ""]",true,762-7632-5,かんたん：3むずかしい：6げきむず：0,,ファイル名をコピー,リリース,アイワナムチュー,MAISONdes
