id,release_date,title,furigana,edit,tags,data,jasrac_code,difficulty,youtube,download,release_status,song_name,artist_name
10013184,2025/02/15,風神 Vaundy ばうんでぃ ドラマ「ライオンの隠れ家」主題歌           ,ふうじん,リリース通知作成,"[""ポップス""]",true,790-1018-1,かんたん：1むずかしい：5げきむず：0,,ファイル名をコピー,リリース,風神,Vaundy
10013119,2025/02/09,WOW King & Prince きんぐあんどぷりんす    ,わお,リリース通知作成,"[""ポップス""]",true,788-0374-8,かんたん：1むずかしい：5げきむず：0,,ファイル名をコピー,リリース,WOW,King & Prince
10013217,2025/02/12,New me YOASOBI よあそび    ,にゅーみー,リリース通知作成,"[""ポップス""]",true,790-6238-5,かんたん：1むずかしい：5げきむず：0,,ファイル名をコピー,リリース,New me,YOASOBI
10013156,2025/02/16,AWAKE 星街すいせい ほしまちすいせい    ,あうぇいく,リリース通知作成,"[""ポップス""]",true,N01522359,かんたん：2むずかしい：6げきむず：0,,ファイル名をコピー,リリース,AWAKE,星街すいせい
10013185,2025/02/05,ねっこ King Gnu きんぐぬー ドラマ「海に眠るダイヤモンド」主題歌           ,ねっこ,リリース通知作成,"[""ポップス""]",true,790-1438-1,かんたん：2むずかしい：6げきむず：0,,ファイル名をコピー,リリース,ねっこ,King Gnu
10013152,2025/02/02,Got Boost？ FANTASTICS from EXILE TRIBE ふぁんたすてぃっくすふろむえぐざいるとらいぶ アニメ「仮面ライダーガヴ」OP           ,ごっとぶーすと,リリース通知作成,"[""アニメ"", ""キッズ""]",true,306-0450-8,かんたん：2むずかしい：6げきむず：0,,ファイル名をコピー,リリース,Got Boost？,FANTASTICS from EXILE TRIBE
10013089,2025/02/08,トワイライト B小町 びーこまち ドラマ「【推しの子】」           ,とわいらいと,リリース通知作成,"[""ポップス""]",true,307-5583-2,かんたん：2むずかしい：5げきむず：0,,ファイル名をコピー,リリース,トワイライト,B小町
10013155,2025/02/01,こんなあたしはいかがですか 超ときめき♡宣伝部 ちょうときめきせんでんぶ    ,こんなあたしはいかがですか,リリース通知作成,"[""ポップス""]",true,N01523405,かんたん：2むずかしい：6げきむず：0,,ファイル名をコピー,リリース,こんなあたしはいかがですか,超ときめき♡宣伝部
10013123,2025/01/25,一旦ステイ　TONIGHT 不破湊 ふわみなと    ,いったんすていとぅないと,リリース通知作成,"[""ポップス""]",true,78741840N01473543,かんたん：4むずかしい：6げきむず：0,,ファイル名をコピー,リリース,一旦ステイ　TONIGHT,不破湊
10013122,2025/01/29,朝、月面も笑っている DISH// でぃっしゅ 「めざましテレビ」テーマソング           ,あさげつめんもわらっている,リリース通知作成,"[""ポップス""]",true,782-3612-6,かんたん：2むずかしい：5げきむず：0,,ファイル名をコピー,リリース,朝、月面も笑っている,DISH//
10013092,2025/01/26,ロミオとシンデレラ doriko どりこ    ,ろみおとしんでれら,リリース通知作成,"[""ボカロ""]",true,16224477N01160327,かんたん：2むずかしい：7げきむず：0,,ファイル名をコピー,リリース,ロミオとシンデレラ,doriko
10013085,2025/01/18,もういいよ こっちのけんと こっちのけんと    ,もういいよ,リリース通知作成,"[""ポップス""]",true,N01523772,かんたん：2むずかしい：6げきむず：0,,ファイル名をコピー,リリース,もういいよ,こっちのけんと
10012959,2024/12/30,歯ラ歯ラ しなこ しなこ    ,はらはら,リリース通知作成,"[""ポップス""]",true,787-9763-2,かんたん：3むずかしい：7げきむず：0,,ファイル名をコピー,リリース,歯ラ歯ラ,しなこ
10012889,2025/01/12,パイパイ仮面でどうかしらん？ 宝鐘マリン ほうしょうまりん    ,ぱいぱいかめんでどうかしらん？,リリース通知作成,"[""ポップス""]",true,30757681N01480852,かんたん：2むずかしい：5げきむず：0,,ファイル名をコピー,リリース,パイパイ仮面でどうかしらん？,宝鐘マリン
10013087,2025/01/19,我ら完全無敵のアイドル!! B小町 びーこまち ドラマ「【推しの子】」           ,われらかんぜんむてきのあいどる,リリース通知作成,"[""ポップス""]",true,307-5581-6,かんたん：2むずかしい：7げきむず：9,,ファイル名をコピー,リリース,我ら完全無敵のアイドル!!,B小町
10012823,2025/01/22,CHANGE 新しい学校のリーダーズ あたらしいがっこうのりーだーず 映画『もしも徳川家康が総理大臣になったら』主題歌           ,ちぇんじ,リリース通知作成,"[""ポップス""]",true,305-4223-5,かんたん：2むずかしい：6げきむず：0,,ファイル名をコピー,リリース,CHANGE,新しい学校のリーダーズ
10013090,2025/01/15,Same Blue Official髭男dism おふぃしゃるひげだんでぃずむ アニメ「アオのハコ」OP           ,せいむぶるー,リリース通知作成,"[""アニメ""]",true,N01522155,かんたん：2むずかしい：6げきむず：0,,ファイル名をコピー,リリース,Same Blue,Official髭男dism
10012826,2025/01/11,ドーナツホール ハチ はち    ,どーなつほーる,リリース通知作成,"[""ボカロ""]",true,70887845N00051832,かんたん：3むずかしい：6げきむず：8,,ファイル名をコピー,リリース,ドーナツホール,ハチ
10012856,2024/12/27,許婚っきゅん ano あの アニメ「らんま1/2」OP           ,いいなずっきゅん,リリース通知作成,"[""アニメ""]",true,787-9353-0,かんたん：3むずかしい：6げきむず：8,,ファイル名をコピー,リリース,許婚っきゅん,ano
10013088,2025/01/04,HAPPY≒FUTURE 深澤 恵梨香 ふかさわ えりか 『わんだふるぷりきゅあ！ざ・むーびー！』主題歌           ,はっぴーふゅーちゃー,リリース通知作成,"[""アニメ""]",true,305-1053-8,かんたん：2むずかしい：5げきむず：0,,ファイル名をコピー,リリース,HAPPY≒FUTURE,深澤 恵梨香
10013052,2025/01/08,月曜日戦争 吉澤 嘉代子 よしざわかよこ    ,げつようびせんそう,リリース通知作成,"[""ポップス""]",true,717-3906-8,かんたん：2むずかしい：5げきむず：0,,ファイル名をコピー,リリース,月曜日戦争,吉澤 嘉代子
10012887,2025/01/03,Only One Story ZEROBASEONE ぜろべーすわん アニメ「ポケットモンスター レックウザ ライジング」OP           ,おんりーわんすとーりー,リリース通知作成,"[""アニメ""]",true,308-8654-6,かんたん：2むずかしい：5げきむず：0,,ファイル名をコピー,リリース,Only One Story,ZEROBASEONE
10013019,2024/12/28,モノトーン YOASOBI よあそび    ,ものとーん,リリース通知作成,"[""アニメ""]",true,306-9635-6,かんたん：3むずかしい：6げきむず：0,,ファイル名をコピー,リリース,モノトーン,YOASOBI
10012955,2025/01/01,恋うらら AMPTAKxCOLORS あんぷたっくからーず    ,こいうらら,リリース通知作成,"[""ポップス""]",true,77878531N01388418,かんたん：1むずかしい：5げきむず：0,,ファイル名をコピー,リリース,恋うらら,AMPTAKxCOLORS
