日付,エンゲージ ビュー,チャンネル登録者,平均再生率（%） (%),追加された動画,公開済みの動画,インプレッション数,インプレッションのクリック率 (%),視聴を継続 (%),ユニーク視聴者数,視聴者あたりの平均視聴回数,新しい視聴者数,リピーター,ライトな視聴者,コアな視聴者,ハイプ,ハイプポイント,登録者増加数,登録者減少数,高評価数,低評価数,高評価率（低評価比） (%),共有数,コメントの追加回数,売上合計 (JPY),注文数,承認済みのコミッション (JPY),保留中のコミッション (JPY),返却された商品 (JPY),YouTube Premium の視聴回数,YouTube Premium 総再生時間（単位: 時間）,再生リストの総再生時間（単位: 時間）,再生リストからの視聴,再生リスト開始あたりの再生回数,ストリーミング時間,設定されているリマインダーの数,チャット メッセージ,リアクション,投稿のインプレッション,投稿の高評価,投稿の高評価率 (%),投稿のチャンネル登録者,投稿の回答,投稿の返信率 (%),リミックス数,リミックス視聴回数,コミュニティ クリップの視聴回数,コミュニティ クリップから発生した総再生時間（単位は時間）,カードのクリック数,カードの表示回数,カード ティーザーの表示回数,カードのティーザーのクリック数,カード表示 1 回あたりのクリック数 (%),カード ティーザー表示 1 回あたりのクリック数 (%),終了画面要素のクリック数,終了画面要素の表示回数,終了画面要素のクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
2024-03-21,2392,0,94.56,0,1,2124,3.01,30.83,2250,1.0631,1527,723,723,0,0,0,1,1,17,1,94.44,0,0,,,,,,53,0.224,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2392,11.8121,0:00:17
2024-01-21,2382,1,121.55,,,364,3.02,32.43,2297,1.037,1606,691,691,0,0,0,1,0,69,11,86.25,0,0,,,,,,0,0,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2382,16.5814,0:00:25
2024-04-02,2379,2,105.55,0,1,3169,2.81,38.49,2167,1.0978,1420,747,747,0,0,0,2,0,44,-1,102.33,1,0,,,,,,64,0.2114,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2379,12.802,0:00:19
2024-08-24,2373,0,119.46,,,1410,2.2,54.55,2258,1.0509,1407,851,851,0,0,0,0,0,47,-6,114.63,0,0,,,,,,7,0.0274,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2373,12.5069,0:00:18
2024-03-27,2372,3,106.79,0,1,3173,2.62,43.47,2212,1.0723,1457,755,755,0,0,0,4,1,36,-4,112.5,0,0,,,,,,58,0.225,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2372,13.1775,0:00:20
2025-02-05,2371,1,124.57,,,2218,2.61,39.57,2273,1.0431,1540,733,733,0,0,0,1,0,30,-40,-300,0,0,,,,,,11,0.0501,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2371,12.7821,0:00:19
2024-08-09,2364,2,112.44,,,2120,2.08,57.02,2243,1.0539,1422,821,821,0,0,0,2,0,25,4,86.21,0,0,,,,,,1,0.0013,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2364,13.3057,0:00:20
2023-12-31,2361,2,92.09,0,2,1629,2.03,30.74,2231,1.0583,1798,433,433,0,0,0,4,2,69,-20,140.82,0,0,,,,,,86,0.2767,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2361,12.3243,0:00:18
2024-04-08,2349,0,100,,,1880,2.23,30.27,2179,1.078,1321,858,858,0,0,0,0,0,26,7,78.79,1,1,,,,,,3,0.0093,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2349,12.1793,0:00:18
2024-04-22,2345,1,158.44,,,1171,3.16,50.41,2195,1.0683,1306,889,889,0,0,0,1,0,37,12,75.51,0,0,,,,,,3,0.0077,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2345,19.3564,0:00:29
2025-09-08,2341,0,113.75,,,2232,3,31.1,2211,1.0588,1536,675,667,8,0,0,0,0,3,3,50,0,0,,,,,,7,0.0136,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2660,12.0867,0:00:18
2025-10-19,2327,0,124.2,,,1934,1.19,9.03,2245,1.0365,1419,826,818,8,0,0,0,0,-2,1,200,0,0,,,,,,4,0.0131,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,43617,33.4362,0:00:20
2025-02-22,2321,1,107.06,,,2686,2.68,45.08,2170,1.0696,1286,884,884,0,0,0,1,0,30,-15,200,1,0,,,,,,7,0.0154,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2321,11.0866,0:00:17
2025-11-08,2302,1,100.97,,,3907,2.38,18.5,2150,1.0707,1331,819,809,10,0,0,1,0,5,-1,125,0,0,,,,,,18,0.0472,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,30060,26.1404,0:00:16
2024-08-08,2301,0,123.92,,,1168,2.91,61.73,2211,1.0407,1611,600,600,0,0,0,0,0,21,-1,105,0,0,,,,,,6,0.0249,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2301,17.2369,0:00:26
2024-09-05,2301,1,124.05,,,765,1.7,54.79,2279,1.0097,1697,582,582,0,0,0,1,0,54,8,87.1,0,0,,,,,,1,0.0031,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2301,13.23,0:00:20
2024-05-08,2295,1,107.03,2,2,1567,2.74,25.09,2151,1.0669,1388,763,763,0,0,0,3,2,20,9,68.97,0,0,,,,,,77,0.2542,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2295,11.9954,0:00:18
2024-06-23,2294,3,119.62,,,2876,2.4,47.64,2141,1.0715,1365,776,776,0,0,0,3,0,44,15,74.58,0,0,,,,,,3,0.0092,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2294,13.1474,0:00:20
2023-11-12,2292,0,96.21,,,10,0,,2268,1.0106,2049,219,219,0,0,0,0,0,2,-2,,0,0,,,,,,0,0,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2292,9.1881,0:00:14
2024-12-05,2285,0,139.24,,,2515,2.74,47.37,2212,1.033,1472,740,740,0,0,0,0,0,29,4,87.88,0,0,,,,,,2,1.0264,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2285,14.0645,0:00:22
2025-10-04,2273,0,122.18,,,2387,4.36,58.47,2132,1.0661,1362,770,757,13,0,0,0,0,3,1,75,0,0,,,,,,8,0.0303,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,39630,31.3818,0:00:19
2025-08-28,2266,2,110.08,,,1883,2.18,22.65,2063,1.0984,1308,755,742,13,0,0,2,0,7,2,77.78,0,0,,,,,,14,0.0427,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2714,11.364,0:00:17
2025-02-08,2265,-1,99.12,,,2508,2.39,47.88,2116,1.0704,1432,684,684,0,0,0,0,1,9,-38,-31.03,0,0,,,,,,6,0.0242,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2265,9.9354,0:00:15
2024-07-30,2258,1,142.78,,,2016,2.23,32.46,2108,1.0712,1494,614,614,0,0,0,1,0,67,36,65.05,0,0,,,,,,6,0.0227,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2258,17.4713,0:00:27
2024-01-09,2255,4,92.26,4,2,1541,2.01,36.68,2136,1.0557,1775,361,361,0,0,0,4,0,26,-8,144.44,0,0,,,,,,62,0.1764,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2255,11.5303,0:00:18
2025-09-20,2255,0,183.07,,,3135,2.04,21.1,2082,1.0831,1354,728,718,10,0,0,1,1,15,0,100,0,0,,,,,,12,0.029,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2607,18.6492,0:00:29
2025-02-27,2254,1,119.4,,,3279,2.35,13.03,2150,1.0484,1483,667,667,0,0,0,1,0,61,22,73.49,0,0,,,,,,3,0.0664,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2254,11.8737,0:00:18
