順位,アーティスト名,曲名,動画タイトル,Video ID,再生数,高評価数,支持率(%),コメント数,急上昇度(views/day),公開日数
41,Ado,ギラギラ,【Ado】ギラギラ,sOiMD45QGLs,205225430,1355654,0.66,44556,116473.0,1762
42,ヨルシカ,晴る,ヨルシカ - 晴る（OFFICIAL VIDEO）,CkvWJNt77mU,73497267,458879,0.62,6915,113597.0,647
43,米津 玄師,BOW AND ARROW,米津玄師 Kenshi Yonezu - BOW AND ARROW,M-Eyhjkepy0,31278883,467241,1.49,26555,110918.0,282
44,LiSA,残酷な夜に輝け,LiSA『残酷な夜に輝け』MUSiC CLiP,ysdtX8kRTuQ,15605891,178855,1.15,8225,110680.1,141
45,CANDY TUNE,倍倍FIGHT！,【MV】CANDY TUNE「倍倍FIGHT!」,9HKbo1FstOE,30630912,193944,0.63,10883,110183.1,278
46,米津 玄師,PLAZMA,米津玄師  Kenshi Yonezu - Plazma,fp3F6TqBsAU,35022710,277066,0.79,11842,107762.2,325
47,友成空,鬼ノ宴,"友成空(TOMONARI SORA) - ""Demons Banquet"" ［Lyric Video］",NFzyrPK9rtM,75451088,531749,0.7,9981,107480.2,702
48,米津玄師,LOSER,"米津玄師 - LOSER , Kenshi Yonezu",Dx_fKPBPYUI,357053685,1413308,0.4,67155,105793.7,3375
49,B小町,トワイライト,King Gnu - TWILIGHT!!!,qIcIpSyHcyM,24950173,216732,0.87,7874,105275.0,237
50,Aimer,太陽が昇らない世界,Aimer「太陽が昇らない世界」Music Video（『劇場版「鬼滅の刃」無限城編 』第一章 猗窩座再来』 主題歌）,DJOf0XtVpkI,14534201,127178,0.88,4678,103079.4,141
51,DECO*27,チェリーポップ feat. 初音ミク,DECO*27 - チェリーポップ feat. 初音ミク,BI9Ue6JwJic,14375009,275538,1.92,7347,102678.6,140
52,RADWIMPS,前前前世,RADWIMPS - 前前前世 (movie ver.) [Official Music Video],PDSkFeMVNFs,345908148,1595759,0.46,112645,101707.8,3401
53,ピノキオピー,T氏の話を信じるな,ピノキオピー - T氏の話を信じるな feat. 初音ミク・重音テト / Don’t Believe in T,Jtm6ikBIl0g,16870126,249381,1.48,9250,100417.4,168
54,菅田将暉,虹,菅田将暉 『虹』,hkBbUf4oGfA,183781329,721898,0.39,25704,99718.6,1843
55,藤井 風,きらり,Fujii Kaze - Kirari (Official Video),TcLLpZBWsck,165479988,1209540,0.73,37670,99387.4,1665
56,jon-YAKITORY,混沌ブギ,"混沌ブギ / jon-YAKITORY, 初音ミク -Konton Boogie / jon-YAKITORY, Hatsune Miku-",1Swg-aBO9eY,81495588,758654,0.93,21283,97599.5,835
57,宝鐘マリン & Kobo Kanaeru,III,III (Cover) | Justen x Sena,eUJjeYVlEKA,25636576,357492,1.39,5711,97477.5,263
58,tuki.,ひゅるりらぱっぱ,tuki.『ひゅるりらぱっぱ』Official Music Video,AOfaWrBwo7I,46278974,459969,0.99,6667,94446.9,490
59,Snow Man,Dangerholic,Snow Man「Dangerholic」Music Video YouTube Ver.,i-PnC1tYnGM,81396324,0,0.0,41993,93882.7,867
60,Mrs. GREEN APPLE,familie,Mrs. GREEN APPLE「familie」Official Music Video,FYhxYcXfhYA,44601972,232598,0.52,8952,93114.8,479
61,Ado,ルル,【Ado】ルル (RuLe),0Z_YqhYHhpg,48496258,567472,1.17,16394,92550.1,524
62,Da-iCE,I wonder,Da-iCE /「I wonder」Performance Video,RWfi_xJkuJg,55745184,210685,0.38,6635,92446.4,603
63,Vaundy,踊り子,【第75回NHK紅白歌合戦 歌唱曲】踊り子 / Vaundy：MUSIC VIDEO,7HgJIAUtICU,137183133,1208305,0.88,19468,92317.0,1486
64,CHA-CHA,アンパンマンたいそう,アンパンマンたいそう （テレビサイズver.）［公式エンディングテーマ］,CaqHOvgAnO0,90771031,0,0.0,0,91318.9,994
65,ねぐせ。,織姫とBABY feat. 汐れいら,ねぐせ。「織姫とBABY feat. 汐れいら」Official Music Video,RyviHjvLIao,15465146,117126,0.76,1930,89393.9,173
66,=LOVE,とくべチュ、して,＝LOVE（イコールラブ）/ 18th Single『とくべチュ、して』【MV full】,F3P8vcZkIh4,27653225,148942,0.54,23847,88632.1,312
67,yama,春を告げる,yama - 春を告げる (Official Video),DC6JppqHkaM,183007550,1420996,0.78,28516,88623.5,2065
68,Mrs. GREEN APPLE,Carrying Happiness,Carrying Happiness,YFk3oSwbXOY,12819529,95951,0.75,2657,87805.0,146
69,米津玄師,アイネクライネ,"米津玄師  - アイネクライネ , Kenshi Yonezu - Eine Kleine",-EKxzId_Sj4,366968005,1348625,0.37,62749,85880.6,4273
70,Snow Man,ブラザービート,Snow Man「ブラザービート」Music Video,LZW4zUmE0qY,117346336,0,0.0,86071,85033.6,1380
71,しまじろう,ハッピー・ジャムジャム,JO1｜'ハッピー・ジャムジャム(JO1 ver.)' - JO1 5th Anniversary 〜祭り〜 (EffectMan VER.),ocnS2fWQ8_Q,84624,12732,15.05,1238,84624.0,1
72,M!LK,イイじゃん,M!LK - イイじゃん(Official Music Video),GW-XMhRQDFI,23815453,156907,0.66,21253,84452.0,282
73,ヨルシカ,だから僕は音楽を辞めた,ヨルシカ - だから僕は音楽を辞めた (Music Video),KTZ-y85Erus,204184724,1287678,0.63,30480,83579.5,2443
74,ななひら,POKÉDANCE,"Pokémon partners of different generations dancing ""POKÉDANCE"" Animation Music Video",vikINVCvqCE,54406474,471061,0.87,0,83190.3,654
75,MY FIRST STORY×HYDE,夢幻,MY FIRST STORY × HYDE – “MUGEN” (from Anime “Demon Slayer: Kimetsu no Yaiba”) Official Music Video,1a3b7ZpUcn4,44574598,280840,0.63,10536,83161.6,536
76,Saucy Dog,シンデレラボーイ,Saucy Dog「シンデレラボーイ」Music Video ＜5th Mini Album「レイジーサンデー」2021.8.25 Release＞,IVbY5edMfCA,128755620,627693,0.49,9351,81749.6,1575
77,SPYAIR,オレンジ,SPYAIR『オレンジ』Music Video（『劇場版ハイキュー!! ゴミ捨て場の決戦』主題歌）,YkVjY1F-Eoc,53099908,312347,0.59,5544,80090.4,663
78,YOASOBI,たぶん,YOASOBI「たぶん」Official Music  Video,8iuLXODzL04,157654753,1634631,1.04,22333,79987.2,1971
79,BE:FIRST,夢中,BE:FIRST / 夢中 -Recording Video- (フジテレビ木曜劇場『波うららかに、めおと日和』主題歌),TpuNjlGbs6o,17662439,117548,0.67,15971,78850.2,224
80,ドリーミング・アンパン合唱団,サンサンたいそう,サンサンたいそう （テレビサイズver.）［公式エンディングテーマ］,y6lqPw8T9G4,77452962,0,0.0,0,77920.5,994
81,原口沙輔,イガク,イガク - 重音テト,F38EuG2dAyM,49968798,513262,1.03,12201,76639.3,652
82,YOASOBI,WATCH ME!,YOASOBI「Watch me!」Official Music Video,evtoG-4dLM4,15788882,218238,1.38,5494,75908.1,208
83,幾田 りら,恋風,幾田りら「恋風」 Official Music Video,bWlknrhWjVw,13999077,97262,0.69,1758,75670.7,185
84,Ado,阿修羅ちゃん,【Ado】阿修羅ちゃん,cyq5-StPISU,113027929,905337,0.8,16431,75101.6,1505
85,Official髭男dism,らしさ,Official髭男dism - らしさ [Official Video],keOnleW2eak,7573466,74855,0.99,5139,73528.8,103
86,超ときめき♡宣伝部,超最強,超ときめき♡宣伝部 /「超最強」Music Video,Yeahpo-0Ub4,12607824,95498,0.76,5522,72458.8,174
87,FloweR,グッバイ宣言,Chinozo 'グッバイ宣言' feat.FloweR,dHXC_ahjtEE,149560188,1357392,0.91,84514,72286.2,2069
88,Mrs. GREEN APPLE,Magic,Mrs. GREEN APPLE「Magic」Official Music Video,CN-Ja6jCweA,64408830,316395,0.49,9057,70623.7,912
89,こっちのけんと,もういいよ,もういいよ / こっちのけんと MV,svbfMJJk_90,29384238,322080,1.1,11259,69466.3,423
90,MAISONdes,トウキョウ・シャンディ・ランデヴ,"【239】[feat. 花譜, ツミキ] トウキョウ・シャンディ・ランデヴ / MAISONdes",NFMmSOWPj_k,76458248,524936,0.69,14748,67423.5,1134
91,ヨルシカ,春泥棒,ヨルシカ - 春泥棒（OFFICIAL VIDEO）,Sw1Flgub9s8,121045940,816366,0.67,25107,67360.0,1797
92,Vaundy,風神,風神 / Vaundy (TBS系金曜ドラマ『ライオンの隠れ家』主題歌) / Vaundy：MUSIC VIDEO,yiU0I0tvt6s,26463337,114589,0.43,2033,65341.6,405
