id,アーティスト名,曲名,動画タイトル,Video ID,再生数,高評価数,支持率(%),コメント数,急上昇度(views/day),公開日数,人気度順位,支持率順位,エンゲージメント順位,急上昇度順位,総合順位
10011389,しぐれうい,粛聖!!ロリ神レクイエム☆,【オリジナル楽曲】粛聖!! ロリ神レクイエム☆ / しぐれうい（9さい）【IOSYS（まろん&D.watt）】,Ci_zad39Uhw,135795405,2302800,1.7,103038,165201.2,822,56,46,14,40,1
10014802,米津玄師,IRIS OUT,米津玄師  Kenshi Yonezu - IRIS OUT,LmZD-TU96q4,110743853,1463141,1.32,62023,1287719.2,86,69,79,23,4,2
