順位,release_date,アーティスト名,曲名,動画タイトル,Video ID,再生数,高評価数,支持率(%),コメント数,急上昇度(views/day),公開日数,最適投稿日時,予測視聴数,信頼度スコア
349,2025/05/24,キュアアイドル(CV：松岡美里)＆キュアウインク(CV：髙橋ミナミ)＆キュアキュンキュン(CV：高森奈津美),Trio Dreams,Trio Dreams,vcmMasgssFg,1172952,7350,0.63,0,4991.3,235,,0,0.0
350,2024/04/07,⽯井あみ＆後本萌葉,FUN☆FUN☆わんだふるDAYS!,FUN☆FUN☆わんだふるDAYS！,1ikx1Dkf_Us,1147094,5511,0.48,0,1915.0,599,,0,0.0
351,2024/04/23,INI,New Day,G-k.i.d - NEW DAY [Official Music Video],__L6bFKwDSg,1110115,9703,0.87,362,3700.4,300,,0,0.0
352,2024/07/12,いれいす,恋の約束,【MV】恋の約束 -2025 ver.- / いれいす,37Ygo1fj43A,1095287,21715,1.98,2944,15873.7,69,,0,0.0
353,2024/06/30,yama×ぼっちぼろまる,ハロ,ハロ,o2PwpMc9Bks,1083219,4995,0.46,47,1385.2,782,,0,0.0
354,2025/04/19,石井あみ・熊田茜音・吉武千颯,キミとアイドルプリキュア♪ Light Up!,キミとアイドルプリキュア♪ Light Up！,a2OEqn586AU,952667,5386,0.57,0,4053.9,235,,0,0.0
355,2025/01/01,AMPTAKxCOLORS,恋うらら,【MV】恋うらら／AMPTAKxCOLORS【アンプタック】,7sYWi7_gBsI,932038,14891,1.6,1920,1354.7,688,,0,0.0
356,2024/11/24,9Lana,Let me battle,【公式】アニメ「ポケットモンスター　テラスタルデビュー」エンディングテーマ「Let me battle」,Pq3RedHvV-A,823769,0,0.0,0,1343.8,613,,0,0.0
357,2024/09/01,石井あみ＆後本萌葉,しあわせえぼりゅ～しょん♡,しあわせえぼりゅ～しょん♡ ～こむぎ＆いろはVer.～,DRi7GdbkOBI,797612,4160,0.52,0,1764.6,452,,0,0.0
358,2025/03/21,フォーエイト48,えびぞりターン!,【MV】フォーエイト48 – えびぞりターン！（Official Music Video）,lhjSMaV18Is,639961,9162,1.43,473,1474.6,434,,0,0.0
359,2025/03/14,asmi,こっち向いてほい,こっち向いてほい - asmi (Official Music Video),JYgWfE10Pt0,611252,10815,1.77,172,1587.7,385,,0,0.0
360,2024/08/22,むくえな,おやすみロマンス,おやすみロマンス / むくえな（Official Music Video）,kRC6jAgrT2I,582911,16450,2.82,818,474.3,1229,,0,0.0
361,2024/12/12,赤血球(CV:花澤香菜)・白血球(CV:前野智昭),ミッション!健・康・第・イチ,ミッション！ 健・康・第・イチ,oUvD1aGDycM,541357,4730,0.87,0,1841.4,294,,0,0.0
362,2024/12/05,Knight A -騎士A-,EDEN,"Eden (feat. Cordae, DJ Jazzy Jeff)",AgUkasl_xYc,480085,3507,0.73,0,2212.4,217,,0,0.0
363,2024/04/22,マルシィ,ラブソング,ずっとラブソング / Vaundy：MUSIC VIDEO,wriTi0J_-1A,475282,12787,2.69,463,475282.0,1,,0,0.0
364,2024/09/29,すとぷり,生まれたその時から,生まれたその時から,hdWov4QwjzM,433898,17285,3.98,453,774.8,560,,0,0.0
365,2025/03/12,赤血球(CV:花澤香菜)・白血球(CV:前野智昭) 他,GO!GO!細胞フェスタ,GO!GO!細胞フェスタ,spGg6e2GUR4,332405,2040,0.61,0,205.2,1620,,0,0.0
366,2025/01/04,深澤 恵梨香,HAPPY≒FUTURE,Happy≒Future,Z4UX7UMU1LU,289672,1840,0.64,0,670.5,432,,0,0.0
367,2024/07/11,合唱,たいようのサンバ,たいようのサンバ,5JMCv6Q8OEM,178146,734,0.41,0,65.6,2716,,0,0.0
368,2025/01/05,DECO*27,モニタリング,DECO*27 - モニタリング (Best Friend Remix)／リゼ・ヘルエスタ(cover),LBneNFFePwo,147297,28695,19.48,773,147297.0,1,,0,0.0
369,2024/08/25,CANDY TUNE,キス・ミー・パティシエ,キス・ミー・パティシエ,HFC-Zrfsab4,125250,709,0.57,3,515.4,243,,0,0.0
370,2025/03/15,幾田りら,百花繚乱,幾田りら／Lilas「In Bloom」アニメMV｜TVアニメ『薬屋のひとりごと』第2期第1クールOPテーマ「百花繚乱」英語Ver,rYZJf06VR6Y,23610,3025,12.81,71,23610.0,1,,0,0.0
371,2025/06/28,Mrs. GREEN APPLE,breakfast,The Breakfast Club Daily Live Stream!,qoVt5Hn4TVg,15346,1037,6.76,14,15346.0,1,,0,0.0
372,2025/04/03,FRUITS ZIPPER,かがみ,【龍が如く８外伝 Pirates in Hawaii】旅の合間のサブクエ回＃６.５【にじさんじ/加賀美ハヤト】,wLxaQEtPYq4,9899,1068,10.79,0,9899.0,1,,0,0.0
373,2024/04/10,Vaundy,踊り子,【#NHK紅白】アーカイブ限定公開｜ 踊り子 ／ Vaundy（第75回）｜紅白歌合戦｜NHK,u-Rk1-rkhLE,4459,302,6.77,0,4459.0,1,,0,0.0
374,2024/04/17,Mr.Children,HANABI,23 KILLS HANABI NEW BROKEN BUFFED BUILD IS FINALLY HERE!!😱💀 ( PLS ABÚSE THIS NEW BUILD! ) - MLBB,HSQ0vAouEAY,402,27,6.72,3,402.0,1,,0,0.0
