順位,release_date,アーティスト名,曲名,動画タイトル,Video ID,再生数,高評価数,支持率(%),コメント数,急上昇度(views/day),公開日数,最適投稿日時,予測視聴数,信頼度スコア
265,2024/01/23,星乃夢奈,男の子のために可愛いわけじゃない！,男の子のために可愛いわけじゃない！／星乃夢奈【Official Music Video】,-lgHpWPtV4U,7127784,73422,1.03,1038,7280.7,979,,0,0.0
266,2025/01/19,B小町,我ら完全無敵のアイドル!!,B小町「我ら完全無敵のアイドル!!」ライブパフォーマンス映像,s9-RcVcxeAQ,7123771,83117,1.17,3600,16801.3,424,,0,0.0
267,2024/08/18,すとぷり,誓いの花束を～With You～,【MV】誓いの花束を～With You～／すとぷり【HoneyWorks】,-LZJKbYIiCo,6831162,130748,1.91,9850,12308.4,555,,0,0.0
268,2024/11/21,なとり&imase,メロドラマ,natori & imase - Melodrama,Ao29RaMxH98,6784089,92190,1.36,1389,14373.1,472,,0,0.0
269,2025/02/21,MISAMO,BOUQUET,MOMO SANA MINA from TWICE「Bouquet」 Making Music Video（short ver.）,c64_lZErcOQ,6648237,237687,3.58,10014,6289.7,1057,,0,0.0
270,2025/08/24,てれび戦士,こたえあわせ,Kotaeawase,yx1-9AHAFfQ,6476211,64347,0.99,1301,31902.5,203,,0,0.0
271,2025/08/16,なにわ男子,ギラギラサマー,なにわ男子 - ギラギラサマー [Official Music Video],LJOfZ-7FumQ,6282206,80014,1.27,16992,31728.3,198,,0,0.0
272,2024/06/18,宝塚少年少女合唱団,世界中のこどもたちが,♪世界中のこどもたちが - 世界中のこどもたちが いちどに 笑ったら〜♪〈振り付き〉,Y70WHbXJ8-k,6257108,6695,0.11,0,2586.7,2419,,0,0.0
273,2024/11/14,冨岡 愛,恋する惑星「アナタ」,冨岡 愛 - 恋する惑星「アナタ」 (Music Video),RM1kn_U4Vt0,6207699,69724,1.12,1640,9237.6,672,,0,0.0
274,2024/12/10,きゅるりんってしてみて,きゅるりんしてみて,きゅるりんってしてみて「きゅるりんしてみて」本人たちが踊ってみた,sMX2Kqq4h6s,6188299,44943,0.73,696,8196.4,755,,0,0.0
275,2024/08/29,超特急,Steal a Kiss,超特急「Steal a Kiss」MUSIC VIDEO,1maL_bJe5u8,6165161,26853,0.44,2360,10140.1,608,,0,0.0
276,2024/07/17,ゆず,夏色,ゆず『夏色』MUSIC VIDEO,hhDzDL9Y2Lo,6121892,48689,0.8,1396,6589.8,929,,0,0.0
277,2024/10/20,すとぷり,ぴゅあぴゅあいちご,【MV】ぴゅあぴゅあいちご／すとぷり【HoneyWorks】,-FHrSNYCAcM,6117246,109611,1.79,5249,9558.2,640,,0,0.0
278,2025/11/22,DECO*27,マシュマロ,DECO*27 - マシュマロ feat. 初音ミク,ZIzEnTdR368,6001377,242516,4.04,9772,86976.5,69,,0,0.0
279,2024/06/29,ケツメイシ,スーパースター,Super Star Ni Nattara,T0jZGhaaYYk,5976697,22177,0.37,130,2391.6,2499,,0,0.0
280,2024/05/23,緑黄色社会,Party!!,緑黄色社会『Party!!』Official Video / Ryokuoushoku Shakai – Party!!,7-h8UA7fFmg,5970440,40713,0.68,998,9005.2,663,,0,0.0
281,2025/03/23,Ado,桜日和とタイムマシン with 初音ミク,【Ado】 桜日和とタイムマシン with 初音ミク,nIWZfhpnq6M,5931968,155960,2.63,4393,14157.4,419,,0,0.0
282,2024/09/10,キタニタツヤ,次回予告,次回予告 / キタニタツヤ - Preview of Me / Tatsuya Kitani,O3ZYjfMqAsc,5852550,93851,1.6,2301,9689.7,604,,0,0.0
283,2024/07/09,緑黄色社会,始まりの歌,緑黄色社会『始まりの歌』Official Video / Ryokuoushoku Shakai – Hajimarino Uta,cjf9c6TwH6o,5832848,39759,0.68,1349,1887.0,3091,,0,0.0
284,2025/02/12,YOASOBI,New me,YOASOBI「New me」Official Music Video,HRlW6yZo6Kc,5747290,115549,2.01,1775,15084.8,381,,0,0.0
285,2024/07/14,古川 貴之,全力キング,全力キング,e1cdEpR8OIs,5541684,22909,0.41,0,5614.7,987,,0,0.0
286,2025/05/10,なにわ男子,Doki it,なにわ男子 – Doki it [Official Music Video],Oh7Sin6hTpc,5490549,69605,1.27,17909,17320.3,317,,0,0.0
287,2024/12/03,きゅるりんってしてみて,らぶきゅん♡うぉんてっど,「らぶきゅん♡うぉんてっど」MV/きゅるりんってしてみて,28HBkyA56Cw,5486353,50511,0.92,782,8653.6,634,,0,0.0
288,2024/04/25,Little Glee Monster,世界はあなたに笑いかけている,世界はあなたに笑いかけている,dKKcSFWZ_vY,5480861,20502,0.37,104,2078.4,2637,,0,0.0
289,2024/04/20,BACK-ON,CHEMY×STORY,CHEMY×STORY （『仮面ライダーガッチャード』主題歌）,WzWsiCSCNMo,5196010,26798,0.52,763,7040.7,738,,0,0.0
290,2024/11/26,TK from 凛として時雨,誰我為,TK from 凛として時雨 『誰我為』 Music Video（TVアニメ「僕のヒーローアカデミア」7期オープニング主題歌）,AbY-IVN4WcE,4833783,55403,1.15,1673,8277.0,584,,0,0.0
291,2024/12/28,YOASOBI,モノトーン,YOASOBI「モノトーン」Official Music Video,sJ-2X3rHtXw,4638841,72718,1.57,1720,10518.9,441,,0,0.0
292,2025/12/07,STARGLOW,Moonchaser,STARGLOW / Moonchaser -Music Video-,FTXk6epFQdM,4629141,108453,2.34,13484,54460.5,85,,0,0.0
293,2024/06/07,赤い鳥,翼をください,翼をください（混声三部合唱）　歌：AIきりたん、AI謡子（歌詞付き）,XTuJKMdxWe8,4555077,19657,0.43,0,2382.4,1912,,0,0.0
294,2024/05/30,杉本 竜一,Believe,【合唱曲】Believe / 歌詞付き【9/200】,1eSxTnMcTMs,4466176,26154,0.59,1619,2506.3,1782,,0,0.0
295,2025/01/02,DECO*27,ネバーランド,DECO*27 - ネバーランド feat. 初音ミク,48Csilkjev0,4406018,103220,2.34,2477,10391.6,424,,0,0.0
296,2025/09/20,Da-iCE,ノンフィクションズ,Da-iCE /「ノンフィクションズ」Music Video,6Moq0q8R5Vw,4279944,34916,0.82,2468,31939.9,134,,0,0.0
297,2025/12/30,DECO*27,弱虫モンブラン,DECO*27 - 弱虫モンブラン (Reloaded) feat. 初音ミク,euRzG6zmEb8,4276423,138348,3.24,4868,17454.8,245,,0,0.0
298,2024/05/06,結束バンド,ギターと孤独と蒼い惑星,ギターと孤独と蒼い惑星,ajjawsaBhHQ,4158742,17204,0.41,0,3657.6,1137,,0,0.0
299,2025/05/17,AiScReam,愛♡スクリ～ム!,AiScReam『愛♡スクリ～ム！』Music Video,8Yy7Jzle338,4019262,150464,3.74,6335,37563.2,107,,0,0.0
300,2025/03/27,SEKAI NO OWARI,イルミネーション,B'z / イルミネーション,tFc6y7Dk66E,3914574,43623,1.11,2858,9935.5,394,,0,0.0
301,2024/07/25,ンバヂ,好きな惣菜発表ドラゴン,好きな惣菜発表ドラゴン / 重音テト,OnCFEo_pXaY,3873793,128690,3.32,2636,4499.2,861,,0,0.0
302,2025/03/08,Giga & TeddyLoid meets 松田莉奈&森田ひかる,ピッカーン!,【公式】アニメ「ポケットモンスター レックウザ ライジング」エンディングテーマ「ピッカーン！」,iKuLBnTU1dE,3839004,0,0.0,0,8907.2,431,,0,0.0
303,2025/10/25,なにわ男子,アシンメトリー,なにわ男子 - アシンメトリー [Official Music Video YouTube ver.],5YI0KW4k6U8,3785560,54328,1.44,27876,29807.6,127,,0,0.0
304,2025/01/08,吉澤 嘉代子,月曜日戦争,吉澤嘉代子「月曜日戦争」MUSIC VIDEO,kh3H0M9bKo8,3777695,85520,2.26,872,1203.1,3140,,0,0.0
305,2025/03/05,緑黄色社会,馬鹿の一つ覚え,緑黄色社会『馬鹿の一つ覚え』Official Video / Ryokuoushoku Shakai – Bakano Hitotsuoboe,oowSgjv49vk,3731773,25078,0.67,426,9423.7,396,,0,0.0
306,2025/03/20,STPR Creators,PEACE,【MV】PEACE - 2025ver. ／ STPR Creators 【すとぷり/騎士A/AMPTAK/めておら】,uDjJ8knTOKs,3635580,66396,1.83,11123,13268.5,274,,0,0.0
