1,夢中,2N8NrYWbsw0,830545,41792,5.03,3035,276848.3,3
2,NG,uyuVrzhRpnI,107486,4898,4.56,344,107486.0,1
3,愛♡スクリ～ム!,8Yy7Jzle338,3718016,147013,3.95,6189,39137.0,95
4,弱虫モンブラン,euRzG6zmEb8,4224105,137946,3.27,4864,18129.2,233
5,AlwayS,8oHZYE_0Ndk,22325722,678945,3.04,65564,88947.1,251
